puBal,puSat
100.00,83.33
100.00,84.44
100.00,84.44
100.00,83.33
100.00,83.33
100.00,84.44
100.00,84.44
100.00,83.33
100.00,83.33
100.00,83.33
100.00,84.44
100.00,83.33
100.00,84.44
100.00,83.33
100.00,83.33
100.00,83.33
100.00,83.33
100.00,84.44
100.00,83.33
100.00,83.33
100.00,83.33
100.00,84.44
100.00,84.44
100.00,84.44
100.00,84.44
100.00,84.44
100.00,84.44
100.00,83.33
100.00,83.33
100.00,84.44
