ppBal,ppSat
20.83,25.50
20.33,24.83
21.00,25.17
20.67,25.33
20.83,25.67
21.00,25.50
21.83,26.00
19.00,25.00
20.17,25.33
20.83,25.00
20.33,25.50
21.17,25.83
21.83,25.50
20.83,25.67
20.00,25.33
20.83,25.67
20.33,25.33
20.83,25.17
20.67,25.00
22.00,25.33
21.33,25.83
21.67,25.33
21.17,25.00
20.50,25.17
19.83,25.00
20.17,25.50
20.83,25.33
22.00,25.83
22.50,25.83
20.00,25.17
