puBal,puSat
100.00,95.83
100.00,86.67
100.00,88.33
100.00,94.17
100.00,90.83
100.00,85.83
100.00,94.17
100.00,86.67
100.00,90.83
100.00,89.17
100.00,88.33
100.00,91.67
100.00,88.33
100.00,95.83
100.00,86.67
100.00,86.67
100.00,90.00
100.00,90.00
100.00,90.83
100.00,92.50
100.00,93.33
100.00,95.00
100.00,87.50
100.00,92.50
100.00,86.67
100.00,86.67
100.00,95.00
100.00,87.50
100.00,85.83
100.00,91.67
