msBal,msSat
0.73,0.85
0.89,0.86
0.95,0.85
0.72,0.86
0.94,0.85
0.95,1.18
0.97,0.87
0.96,0.87
0.95,1.40
0.94,0.84
0.94,1.01
0.96,0.86
0.95,0.86
0.95,0.86
0.95,0.85
0.56,0.86
0.95,0.86
0.96,0.85
0.95,0.86
0.94,0.85
0.95,0.86
0.96,0.84
0.85,0.86
0.94,0.86
0.95,0.87
0.90,0.85
0.95,1.02
0.95,0.84
0.96,0.86
0.96,1.39
