msBal,msSat
0.94,0.86
0.65,0.89
0.94,0.88
0.94,0.88
0.93,0.87
0.96,0.86
0.95,0.87
0.94,0.87
0.93,0.88
0.95,0.87
0.91,0.87
0.95,0.88
0.94,0.88
0.94,0.86
0.93,0.75
0.92,0.88
0.94,0.88
0.94,0.88
0.94,0.58
0.70,0.87
1.04,0.87
0.94,0.87
0.94,0.88
0.94,0.87
0.95,0.87
0.96,0.87
0.94,0.88
0.94,0.88
0.92,0.87
0.95,0.87
