ppBal,ppSat
5.00,14.00
6.17,14.17
5.33,14.00
7.33,13.83
6.17,14.67
5.00,14.33
6.50,14.00
7.50,14.17
6.00,14.33
5.67,14.83
6.33,14.00
6.50,14.33
5.83,14.50
6.33,13.83
5.50,15.00
5.33,14.00
5.33,13.50
6.33,14.33
7.33,14.17
6.83,14.50
7.33,15.50
5.83,14.33
6.83,14.67
6.50,13.83
6.83,13.83
4.83,13.17
5.83,14.67
6.17,14.67
7.00,15.17
7.33,13.83
