msBal,msSat
0.92,1.03
0.68,0.64
0.60,0.49
0.98,0.64
0.68,68.81
1.07,0.80
0.93,0.78
0.93,0.83
0.94,40.74
0.66,0.60
0.95,0.87
0.90,0.82
0.95,47.25
0.59,0.61
0.92,0.49
1.01,0.77
32.53,0.89
0.93,0.72
1.10,0.70
0.82,0.91
1.00,0.86
0.88,0.73
2.48,0.72
0.93,0.54
0.69,1.03
0.88,0.97
0.94,0.60
0.93,0.77
0.93,0.81
0.77,0.72
