msBal,msSat
1.05,0.88
0.88,0.87
0.88,0.91
0.79,0.88
1.06,0.93
1.05,0.94
0.88,0.89
0.86,0.87
0.91,0.86
1.02,0.88
0.89,0.88
0.89,0.89
0.89,0.89
0.88,0.89
0.93,0.90
0.89,0.88
1.42,0.92
0.87,0.90
0.94,0.88
2.00,0.88
0.89,0.90
0.88,0.88
0.96,0.88
0.89,0.88
0.92,0.94
0.90,0.89
0.87,0.87
0.88,0.90
0.89,0.89
0.98,0.88
