msBal,msSat
0.99,0.98
0.99,0.98
0.99,0.98
0.99,0.98
0.99,0.98
0.99,0.98
0.99,0.98
0.99,0.98
1.00,0.98
0.99,0.98
0.99,0.98
0.99,0.98
0.99,0.98
0.99,0.98
0.99,0.98
0.99,0.98
0.99,0.98
0.99,0.98
0.99,0.98
0.99,0.98
0.99,0.98
0.99,0.98
0.99,0.98
0.99,0.98
0.99,0.98
0.99,0.98
0.99,0.98
0.99,0.98
0.99,0.98
0.99,0.98
