ppBal,ppSat
3.89,13.89
2.78,12.78
2.22,12.78
3.89,13.33
4.44,14.44
3.89,13.89
3.33,13.33
3.89,13.33
3.89,13.89
4.44,13.89
4.44,13.89
3.89,13.89
3.33,13.33
4.44,13.89
3.89,13.33
3.89,13.33
4.44,13.89
4.44,13.89
4.44,14.44
3.89,13.33
5.00,13.89
3.89,13.33
3.33,13.33
3.33,13.33
4.44,13.89
3.33,13.89
4.44,14.44
5.00,14.44
3.33,12.78
4.44,14.44
