ppBal,ppSat
18.83,32.17
13.33,27.33
14.83,27.67
14.50,28.00
14.00,29.83
14.83,29.50
16.33,27.83
14.83,37.17
17.67,28.67
12.83,31.50
14.33,28.33
20.17,34.50
16.17,28.50
14.50,31.17
17.00,29.17
14.00,29.50
15.83,32.17
22.00,25.67
14.50,30.00
16.83,30.83
14.17,30.00
14.00,28.67
14.50,27.17
17.67,29.67
14.50,36.67
20.83,29.00
15.00,29.50
17.33,30.00
15.33,36.17
15.83,29.00
