ppBal,ppSat
20.67,24.50
14.50,26.33
19.67,16.00
21.67,25.33
25.17,27.17
14.33,28.17
22.17,28.00
13.83,28.00
16.17,26.67
13.67,28.17
18.50,26.00
17.00,24.67
15.50,25.83
14.00,24.83
23.00,24.83
16.33,27.33
22.83,27.00
23.67,22.50
15.50,26.17
18.50,25.17
15.67,27.83
12.33,24.17
15.67,25.17
15.33,20.83
21.00,26.00
17.00,24.50
19.83,25.33
16.33,27.33
20.33,27.50
15.50,24.83
