msBal,msSat
0.30,0.87
0.94,2.50
0.90,0.72
0.89,0.86
0.75,0.84
0.94,0.63
0.75,0.62
0.92,0.77
0.52,0.76
0.52,0.85
52.04,0.86
0.93,0.84
0.72,0.94
0.93,0.88
0.71,1.24
0.90,0.83
0.47,0.66
0.94,1.00
86.76,0.90
0.93,0.84
0.89,0.74
0.93,0.62
0.93,0.84
0.92,0.78
0.49,0.84
0.58,0.82
0.93,0.87
0.93,0.78
0.94,0.87
0.93,0.85
