ppBal,ppSat
15.00,21.17
15.50,21.00
16.67,21.33
17.33,21.33
17.00,22.17
17.17,22.33
16.67,19.50
17.17,21.17
15.67,22.00
17.17,22.00
15.83,20.17
16.67,21.67
16.00,21.67
16.83,21.83
16.33,22.50
15.67,20.83
15.17,21.00
16.00,21.83
18.17,22.00
18.00,22.33
17.33,20.50
17.00,21.67
16.00,22.67
16.00,21.17
16.67,21.50
15.17,20.83
16.00,22.67
16.00,21.17
17.50,22.17
17.50,21.00
