ppBal,ppSat
5.00,11.67
4.50,11.17
5.00,11.67
4.67,11.67
5.00,11.67
4.83,11.67
4.83,11.67
4.50,11.33
4.67,11.67
5.00,11.67
5.00,11.67
5.00,11.67
4.83,11.67
4.67,11.67
5.00,11.67
4.83,11.67
4.83,11.67
5.00,11.17
4.83,11.67
5.00,11.67
4.67,11.33
4.67,11.50
4.83,11.67
4.83,11.50
4.67,11.50
5.00,11.67
5.00,11.33
5.00,11.67
5.00,11.67
4.83,11.50
