ppBal,ppSat
9.00,24.17
8.33,26.50
12.83,30.33
15.17,29.17
8.50,36.83
9.50,23.33
8.17,23.17
11.33,24.00
6.83,25.00
7.67,33.00
9.67,29.67
9.83,33.33
8.17,33.17
10.50,30.00
7.67,30.67
13.83,34.83
7.50,25.50
9.33,30.17
11.33,33.00
10.67,37.17
15.50,28.33
10.83,28.33
11.17,33.00
11.83,25.83
7.83,33.83
7.50,29.33
11.50,34.00
11.67,35.50
8.67,34.33
10.33,32.83
